City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,isafjordur,66.0755,-23.124,3.49,81,78,1.94,IS,2023-10-22 21:31:56
129,la passe,45.5549,-0.8967,12.21,74,100,5.94,FR,2023-10-22 21:31:56
130,acarau,-2.8856,-40.12,25.82,82,47,7.66,BR,2023-10-22 21:31:56
131,hornell,42.3279,-77.6611,10.21,64,100,4.92,US,2023-10-22 21:31:57
132,matoury,4.8483,-52.3317,29.98,74,0,4.12,GF,2023-10-22 21:31:57
133,balfour,-26.6633,28.5902,11.86,80,1,4.26,ZA,2023-10-22 21:31:57
134,kili,5.6439,169.1211,28.66,73,83,2.77,MH,2023-10-22 21:31:57
135,porto novo,6.4965,2.6036,25.9,89,98,2.51,BJ,2023-10-22 21:31:57
136,mednogorsk,51.4128,57.595,-0.88,84,93,3.8,RU,2023-10-22 21:27:40
137,kerikeri,-35.2268,173.9474,18.28,86,39,0.45,NZ,2023-10-22 21:31:58
138,alesund,62.4723,6.1549,8.52,71,0,3.09,NO,2023-10-22 21:31:32
139,lebu,-37.6167,-73.65,11.36,80,0,7.09,CL,2023-10-22 21:31:58
140,talnakh,69.4865,88.3972,-2.66,94,100,6.73,RU,2023-10-22 21:31:58
141,st. john's,47.5649,-52.7093,14.43,91,100,12.35,CA,2023-10-22 21:31:58
142,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,86,40,3.0,RU,2023-10-22 21:31:59
143,rio de janeiro,-22.9028,-43.2075,23.98,71,75,5.66,BR,2023-10-22 21:27:37
144,uturoa,-16.7333,-151.4333,26.85,80,14,7.42,PF,2023-10-22 21:31:59
145,port augusta,-32.5,137.7667,15.76,42,0,1.37,AU,2023-10-22 21:31:59
146,fortuna,40.5982,-124.1573,19.96,90,75,5.66,US,2023-10-22 21:31:59
147,kanzakimachi-kanzaki,33.3,130.3667,11.98,100,20,2.57,JP,2023-10-22 21:31:59
148,acapulco de juarez,16.8634,-99.8901,30.9,66,40,3.6,MX,2023-10-22 21:31:59
149,enewetak,11.3474,162.3373,28.5,70,100,4.24,MH,2023-10-22 21:32:00
150,bandarban,22.1965,92.2262,22.4,99,100,1.35,BD,2023-10-22 21:32:00
151,christchurch,-43.5333,172.6333,14.12,66,20,7.72,NZ,2023-10-22 21:32:00
152,hammerfest,70.6634,23.6821,-1.75,74,20,1.03,NO,2023-10-22 21:32:00
153,kodinsk,58.6881,99.1844,-1.07,88,100,1.91,RU,2023-10-22 21:32:00
154,portland,45.5234,-122.6762,18.03,86,100,3.09,US,2023-10-22 21:32:00
155,gebeit,21.0667,36.3167,24.43,65,2,2.08,SD,2023-10-22 21:32:00
156,black river,18.0264,-77.8487,29.69,73,99,1.06,JM,2023-10-22 21:32:01
157,huichapan,20.3833,-99.65,26.68,25,54,3.49,MX,2023-10-22 21:32:01
158,kangding,30.0513,101.9603,6.94,74,10,1.71,CN,2023-10-22 21:32:01
159,jutai,-5.1833,-68.9,27.73,70,100,1.26,BR,2023-10-22 21:32:01
160,glace bay,46.1969,-59.957,13.87,90,75,5.14,CA,2023-10-22 21:32:01
161,arraial do cabo,-22.9661,-42.0278,22.92,68,75,6.17,BR,2023-10-22 21:32:01
162,eydhafushi,5.1033,73.0708,27.12,76,66,3.87,MV,2023-10-22 21:32:02
163,dudinka,69.4058,86.1778,-2.43,94,100,7.33,RU,2023-10-22 21:32:02
164,bahraigh,27.5833,81.6,19.53,67,0,1.87,IN,2023-10-22 21:32:02
165,nsanje,-16.92,35.262,28.29,61,95,1.86,MW,2023-10-22 21:32:02
166,verkhotur'ye,58.8627,60.8054,-1.82,70,94,4.99,RU,2023-10-22 21:32:02
167,santana,-0.0583,-51.1817,32.1,62,20,5.66,BR,2023-10-22 21:32:02
168,ar ruways,24.1103,52.7306,29.35,69,0,4.07,AE,2023-10-22 21:32:03
169,lata,40.1629,-8.3327,14.4,77,86,1.46,PT,2023-10-22 21:32:03
170,taltal,-25.4,-70.4833,18.13,71,29,3.12,CL,2023-10-22 21:32:03
171,nova sintra,14.8667,-24.7167,23.67,77,45,5.83,CV,2023-10-22 21:32:03
172,ancud,-41.8697,-73.8203,12.35,67,0,1.25,CL,2023-10-22 21:32:03
173,hami,42.8,93.45,11.68,28,0,1.52,CN,2023-10-22 21:32:04
174,wailua homesteads,22.0669,-159.378,29.3,67,75,5.66,US,2023-10-22 21:32:04
175,vorgashor,67.5833,63.95,-6.11,96,100,2.14,RU,2023-10-22 21:32:04
176,port-vila,-17.7338,168.3219,23.78,83,75,7.72,VU,2023-10-22 21:32:04
177,arkhangel'sk,64.5401,40.5433,-0.22,93,62,2.22,RU,2023-10-22 21:32:05
178,zouerate,22.7187,-12.4521,26.87,35,60,3.18,MR,2023-10-22 21:32:05
179,rongelap,11.1635,166.8941,27.59,79,100,7.49,MH,2023-10-22 21:32:05
180,revda,56.801,59.9303,-2.28,79,100,5.65,RU,2023-10-22 21:32:05
181,quellon,-43.1167,-73.6167,11.95,61,0,4.75,CL,2023-10-22 21:32:05
182,rabo de peixe,37.8,-25.5833,17.73,99,40,3.09,PT,2023-10-22 21:32:05
183,gazojak,41.1875,61.4036,12.03,57,100,5.64,TM,2023-10-22 21:32:05
184,bodo,67.28,14.405,2.19,44,0,6.69,NO,2023-10-22 21:32:06
185,minas de marcona,-15.2119,-75.1103,17.21,80,52,6.12,PE,2023-10-22 21:32:06
186,ascension,30.2169,-90.9001,31.12,46,75,0.0,US,2023-10-22 21:32:06
187,mukdahan,16.5833,104.5,20.47,86,90,2.31,TH,2023-10-22 21:32:06
188,piton saint-leu,-21.2196,55.3151,20.78,68,0,2.06,RE,2023-10-22 21:32:06
189,salur,18.5333,83.2167,22.35,60,100,1.87,IN,2023-10-22 21:32:07
190,geraldton,-28.7667,114.6,11.23,82,42,2.57,AU,2023-10-22 21:32:07
191,porto-vecchio,41.591,9.2795,17.81,63,0,4.63,FR,2023-10-22 21:30:04
192,kirakira,-10.4544,161.9205,28.12,69,91,1.7,SB,2023-10-22 21:32:07
193,saipan,15.1355,145.701,28.39,78,20,7.2,MP,2023-10-22 21:32:08
194,nemuro,43.3236,145.575,9.1,79,34,8.42,JP,2023-10-22 21:32:08
195,newman,37.3138,-121.0208,26.12,10,15,6.23,US,2023-10-22 21:32:08
196,tsiombe,-25.3,45.4833,21.68,73,2,2.41,MG,2023-10-22 21:32:08
197,beloyarskiy,63.7119,66.6722,-1.21,70,63,4.81,RU,2023-10-22 21:32:09
198,atafu village,-8.5421,-172.5159,28.5,72,100,2.99,TK,2023-10-22 21:32:09
199,qamdo,31.1667,97.2333,-4.0,63,6,0.96,CN,2023-10-22 21:32:09
200,utrik,11.2278,169.8474,26.38,86,100,8.07,MH,2023-10-22 21:32:09
201,mar del plata,-38.0023,-57.5575,14.41,97,100,4.12,AR,2023-10-22 21:28:07
202,hualien city,23.9769,121.6044,23.68,85,41,1.28,TW,2023-10-22 21:32:10
203,coquimbo,-29.9533,-71.3436,16.85,72,40,5.66,CL,2023-10-22 21:29:06
204,kropachevo,55.0112,57.9896,-2.72,86,93,5.13,RU,2023-10-22 21:32:10
205,fernie,49.5,-115.0687,6.38,97,100,1.22,CA,2023-10-22 21:32:10
206,boulder city,35.9786,-114.8325,31.36,13,0,8.75,US,2023-10-22 21:32:11
207,finspang,58.7058,15.7674,7.06,95,97,1.89,SE,2023-10-22 21:32:11
208,pointe aux piments,-20.0628,57.5131,24.18,76,13,3.17,MU,2023-10-22 21:32:11
209,karyes,37.3,22.5,15.11,70,31,1.02,GR,2023-10-22 21:32:11
210,cariati,39.4922,16.9594,19.73,55,63,2.25,IT,2023-10-22 21:32:12
211,iskateley,67.6803,53.1512,-0.47,80,100,7.43,RU,2023-10-22 21:32:12
212,novo aripuana,-5.1206,-60.3797,31.53,49,96,0.77,BR,2023-10-22 21:32:12
213,shakawe,-18.3667,21.85,25.68,37,23,1.49,BW,2023-10-22 21:32:12
214,burutu,5.3509,5.5076,26.07,88,78,1.8,NG,2023-10-22 21:32:12
215,weno,7.4515,151.8468,26.97,89,40,0.0,FM,2023-10-22 21:32:13
216,mambajao,9.2504,124.7156,27.32,81,100,1.67,PH,2023-10-22 21:32:13
217,codrington,-38.2667,141.9667,12.73,65,47,3.84,AU,2023-10-22 21:32:13
218,wiwili,13.6268,-85.8254,27.89,84,31,0.97,NI,2023-10-22 21:32:13
219,ambodifotatra,-16.9833,49.85,24.95,77,16,4.96,MG,2023-10-22 21:32:13
220,kenai,60.5544,-151.2583,0.61,61,0,3.09,US,2023-10-22 21:32:13
221,las heras,-46.5419,-68.9359,17.92,22,21,5.92,AR,2023-10-22 21:32:13
222,hamilton,39.1834,-84.5333,15.8,53,0,3.6,US,2023-10-22 21:32:14
223,colombo,6.9319,79.8478,23.97,95,100,3.21,LK,2023-10-22 21:26:19
224,mount gambier,-37.8333,140.7667,12.1,66,0,1.86,AU,2023-10-22 21:32:14
225,danane,7.2596,-8.155,21.95,96,78,0.45,CI,2023-10-22 21:32:14
226,suva,-18.1416,178.4415,25.71,78,75,3.09,FJ,2023-10-22 21:32:14
227,guatire,10.4762,-66.5427,27.89,96,100,0.69,VE,2023-10-22 21:32:14
228,hadibu,12.65,54.0333,26.82,85,100,5.7,YE,2023-10-22 21:32:15
229,balqash,46.8481,74.995,10.03,58,92,13.02,KZ,2023-10-22 21:32:15
230,kiunga,-6.1219,141.2906,24.72,84,75,0.87,PG,2023-10-22 21:32:15
231,alpnach,46.9402,8.2743,12.61,90,100,2.06,CH,2023-10-22 21:32:15
232,saint-joseph,-21.3667,55.6167,21.93,80,9,2.94,RE,2023-10-22 21:32:15
233,bethanie,-26.4833,17.15,20.73,33,15,2.57,NA,2023-10-22 21:32:15
234,sitka,57.0531,-135.33,5.94,42,75,0.0,US,2023-10-22 21:32:16
235,san patricio,28.017,-97.5169,31.77,55,96,6.19,US,2023-10-22 21:32:16
236,kyren,51.6828,102.1408,2.22,91,76,0.55,RU,2023-10-22 21:32:16
237,vershino-darasunskiy,52.35,115.5167,-1.14,83,36,2.32,RU,2023-10-22 21:32:16
238,college,64.8569,-147.8028,-4.4,86,100,0.45,US,2023-10-22 21:32:16
239,aizpute,56.7167,21.6,8.57,97,100,1.13,LV,2023-10-22 21:32:16
240,thames,-37.1333,175.5333,17.3,61,38,1.08,NZ,2023-10-22 21:32:17
241,port lincoln,-34.7333,135.8667,14.63,69,31,7.26,AU,2023-10-22 21:32:17
242,invercargill,-46.4,168.35,10.57,76,41,2.24,NZ,2023-10-22 21:32:17
243,beloomut,54.9448,39.3394,3.24,87,99,3.42,RU,2023-10-22 21:32:17
244,safotu,-13.4513,-172.4018,27.63,83,95,4.35,WS,2023-10-22 21:32:17
245,tarauaca,-8.1614,-70.7656,31.19,53,48,2.09,BR,2023-10-22 21:32:18
246,rizhao,35.4275,119.4553,12.42,48,0,2.09,CN,2023-10-22 21:32:18
247,bu'aale,1.0833,42.5833,24.35,83,37,1.85,SO,2023-10-22 21:32:18
248,bodaybo,57.8506,114.1933,0.98,82,91,3.86,RU,2023-10-22 21:29:25
249,santa ana pacueco,20.3667,-102.0,24.85,48,90,4.89,MX,2023-10-22 21:32:18
250,tokar,18.4254,37.729,29.82,73,0,6.67,SD,2023-10-22 21:32:18
251,saratov,51.5667,46.0333,5.53,45,100,1.79,RU,2023-10-22 21:31:20
252,kourou,5.1552,-52.6478,30.03,82,93,6.28,GF,2023-10-22 21:32:19
253,zeya,53.75,127.2667,-2.2,73,13,0.87,RU,2023-10-22 21:29:14
254,bandon,51.7469,-8.7425,11.77,94,100,5.47,IE,2023-10-22 21:32:19
255,longyearbyen,78.2186,15.6401,-10.09,79,0,5.14,SJ,2023-10-22 21:32:19
256,pacific grove,36.6177,-121.9166,19.01,89,100,5.14,US,2023-10-22 21:32:19
257,mersing,2.4312,103.8405,22.95,100,20,2.06,MY,2023-10-22 21:32:19
258,muynoq,43.7683,59.0214,8.81,64,9,4.15,UZ,2023-10-22 21:32:20
259,georgetown,5.4112,100.3354,27.19,92,20,2.68,MY,2023-10-22 21:32:20
260,aasiaat,68.7098,-52.8699,-12.65,89,59,3.5,GL,2023-10-22 21:32:20
261,queenstown,-31.8976,26.8753,8.86,89,100,1.88,ZA,2023-10-22 21:32:20
262,apatity,67.5641,33.4031,-4.51,82,21,2.68,RU,2023-10-22 21:31:27
263,howrah,22.5892,88.3103,26.0,83,40,1.54,IN,2023-10-22 21:32:20
264,langepas,61.2544,75.2124,-2.73,82,12,2.72,RU,2023-10-22 21:32:21
265,hinton,53.4001,-117.5857,4.47,83,80,3.75,CA,2023-10-22 21:32:21
266,hithadhoo,-0.6,73.0833,26.87,75,45,5.14,MV,2023-10-22 21:32:21
267,manokwari,-0.8667,134.0833,26.1,79,91,1.88,ID,2023-10-22 21:32:21
268,hasaki,35.7333,140.8333,8.22,59,96,2.92,JP,2023-10-22 21:32:21
269,ta`u,-14.2336,-169.5144,26.84,82,61,4.35,AS,2023-10-22 21:32:21
270,castillos,-34.1667,-53.8333,17.7,97,100,3.45,UY,2023-10-22 21:32:21
271,panama city beach,30.1766,-85.8055,26.14,74,100,0.89,US,2023-10-22 21:32:22
272,erenhot,43.6475,111.9767,8.59,33,65,5.65,CN,2023-10-22 21:32:22
273,fale old settlement,-9.3852,-171.2468,28.34,70,43,1.66,TK,2023-10-22 21:32:22
274,surahammar,59.7072,16.2219,4.59,95,100,1.54,SE,2023-10-22 21:32:22
275,yekaterinoslavka,50.3734,129.1139,-1.56,59,0,3.42,RU,2023-10-22 21:32:22
276,buarcos,40.166,-8.8768,16.19,72,98,3.45,PT,2023-10-22 21:32:23
277,inirida,3.8653,-67.9239,24.01,96,100,1.36,CO,2023-10-22 21:32:23
278,fisterra,42.9049,-9.2629,13.9,89,100,2.58,ES,2023-10-22 21:32:23
279,kapuskasing,49.4169,-82.4331,5.05,60,20,3.09,CA,2023-10-22 21:32:23
280,mejit,10.2753,170.8646,27.71,82,100,5.15,MH,2023-10-22 21:32:24
281,nanzhang chengguanzhen,31.7839,111.8275,15.19,78,0,1.12,CN,2023-10-22 21:32:24
282,mugia,43.1041,-9.2179,13.98,91,100,2.44,ES,2023-10-22 21:32:24
283,chiredzi,-21.05,31.6667,21.56,79,72,5.29,ZW,2023-10-22 21:32:24
284,taro,-8.3862,115.28,22.0,87,13,0.25,ID,2023-10-22 21:32:24
285,cachoeiras de macacu,-22.4625,-42.6531,20.35,94,96,1.24,BR,2023-10-22 21:32:24
286,mount isa,-20.7333,139.5,19.87,32,0,1.03,AU,2023-10-22 21:32:25
287,akureyri,65.6835,-18.0878,1.96,87,75,0.0,IS,2023-10-22 21:32:25
288,salto,-31.3833,-57.9667,21.6,100,100,6.71,UY,2023-10-22 21:32:09
289,yugorsk,61.3133,63.3319,-1.39,65,42,5.58,RU,2023-10-22 21:32:25
290,kastellaun,50.0667,7.45,9.41,100,75,2.06,DE,2023-10-22 21:32:25
291,chandler,33.3062,-111.8412,36.77,18,0,2.57,US,2023-10-22 21:31:58
292,turkmenbasy,40.0222,52.9552,11.43,82,75,5.14,TM,2023-10-22 21:32:26
293,korinthos,37.9407,22.9573,21.81,62,25,1.06,GR,2023-10-22 21:32:26
294,lobujya,27.95,86.8167,-10.72,55,3,0.12,NP,2023-10-22 21:32:26
295,urzhar,47.093,81.6294,11.87,76,100,2.56,KZ,2023-10-22 21:28:27
296,kodiak,57.79,-152.4072,5.73,52,0,5.66,US,2023-10-22 21:32:27
297,keren,15.7778,38.4581,21.36,64,0,2.43,ER,2023-10-22 21:32:27
298,papao,-17.75,-149.55,29.82,80,77,7.31,PF,2023-10-22 21:32:27
299,amga,60.8953,131.9608,-6.39,96,100,2.56,RU,2023-10-22 21:30:10
